nim;job_text_raw;label
E31190527;founder;Wirausaha Informatika
E31190801;staff;Non-IT
E31190672;freelance kerja lepas;Programmer
E31192382;staff;Non-IT
E31201634;staff;Non-IT
E31172208;fullstack developer web app;Programmer
E31182109;freelance kerja lepas;Wirausaha Informatika
E31160306;admin stnk bpkb;Non-IT
E31160524;kepala urus rencana;Non-IT
E31191401;staff;Programmer
E31190679;staff;Non-IT
E31181567;founder;Wirausaha Informatika
E31191677;freelance kerja lepas;Wirausaha Informatika
E31161776;web developer;Programmer
E31200254;sekretaris kurikulum;Non-IT
E31201237;staff;Non-IT
E31170087;design development;Non-IT
E31192064;freelance kerja lepas;Wirausaha Informatika
E31160622;programmer;Programmer
E31191394;founder;Wirausaha Informatika
E31191234;staff;Non-IT
E31201365;founder;Programmer
E31160880;teller;Non-IT
E31202345;founder;Wirausaha Informatika
E31180299;teller;Non-IT
E31170763;document control specialist;Non-IT
E31180464;staff;Wirausaha Informatika
E31180112;it staff teknisi;Programmer
E31200888;freelance kerja lepas;Wirausaha Informatika
E31180260;staff;Non-IT
E31190070;staff administrator;Non-IT
E31191124;founder;Wirausaha Informatika
E31201690;staff;Non-IT
E31200910;staff;Non-IT
E31190957;freelance kerja lepas;Wirausaha Informatika
E31170715;administrasi;Non-IT
E31200284;staff;Non-IT
E31200880;freelance kerja lepas;Wirausaha Informatika
E31181885;staff admin;Non-IT
E31200549;staff;Non-IT
E31180703;it staff teknisi;Programmer
E31171367;office administrator;Non-IT
E31160910;administration assistant;Wirausaha Informatika
E31201459;freelance kerja lepas;Wirausaha Informatika
E31201095;freelance kerja lepas;Wirausaha Informatika
E31160241;web developer;Programmer
E31191460;freelance kerja lepas;Wirausaha Informatika
E31200245;staff;Non-IT
E31190851;founder;Wirausaha Informatika
E31200238;staff kontrak;Non-IT
E31190055;staff usaha labuh;Wirausaha Informatika
E31200293;staff;Non-IT
E31200356;founder;Programmer
E31191894;fullstack developer;Programmer
E31170392;it staff teknisi;Programmer
E31171791;pranata komputer;Non-IT
E31201177;freelance kerja lepas;Wirausaha Informatika
E31191286;staff;Non-IT
E31171680;quality control specialist;Non-IT
E31171700;administration;Non-IT
E31171618;customer service staff;Non-IT
E31180306;fulfillment admin;Data Analyst
E31171935;machine operator;Non-IT
E31191159;founder;Wirausaha Informatika
E31190939;founder;Wirausaha Informatika
E31190197;founder;Wirausaha Informatika
E31180878;management information system staf;Programmer
E31191888;staf;Non-IT
E31202319;freelance kerja lepas;Wirausaha Informatika
E31181597;cashier;Non-IT
E31181991;digital marketing specialist;Wirausaha Informatika
E31180513;contact center agent;Non-IT
E31171243;it staff teknisi;Programmer
E31192304;founder;Wirausaha Informatika
E31201431;freelance kerja lepas;Data Analyst
E31200001;freelance kerja lepas;Wirausaha Informatika
E31192311;founder;Wirausaha Informatika
E31200456;data analyst;Data Analyst
E31170933;tester;Programmer
E31190883;staff;Programmer
E31201773;freelance kerja lepas;Programmer
E31181100;freelance kerja lepas;Wirausaha Informatika
E31200592;guru;Non-IT
E31200680;founder;Wirausaha Informatika
E31190397;freelance kerja lepas;Wirausaha Informatika
E31192391;staff;Programmer
E31170372;administrative assistant pdpt upt tik;Non-IT
E31180837;designer;Programmer
E31190631;staff;Non-IT
E31190430;freelance kerja lepas;Wirausaha Informatika
