nim;job_text_raw;label
E31200864;freelance kerja lepas;Wirausaha Informatika
E31202562;staff;Non-IT
E31202523;freelance kerja lepas;Wirausaha Informatika
E31201845;founder;Wirausaha Informatika
E31201199;founder;Wirausaha Informatika
E31171680;quality control specialist;Non-IT
E31192166;founder;Wirausaha Informatika
E31201422;freelance kerja lepas;Wirausaha Informatika
E31190648;founder;Programmer
E31190939;founder;Wirausaha Informatika
E31201950;marketing officer;Non-IT
E31190800;staff;Non-IT
E31192123;customer engineer;Programmer
E31201237;staff;Non-IT
E31171791;pranata komputer;Non-IT
E31192213;freelance kerja lepas;Programmer
E31200102;freelance kerja lepas;Wirausaha Informatika
E31170389;field coll;Non-IT
E31190785;freelance kerja lepas;Wirausaha Informatika
E31192403;freelance kerja lepas;Wirausaha Informatika
E31201365;founder;Programmer
E31162061;web developer;Programmer
E31192304;founder;Wirausaha Informatika
E31180306;staff;Data Analyst
E31190980;staff;Programmer
E31181553;staff admin;Non-IT
E31181158;freelance kerja lepas;Programmer
E31171868;information technology staff;Non-IT
E31200700;staff;Wirausaha Informatika
E31192175;petugas barang bukti;Non-IT
E31201555;freelance kerja lepas;Wirausaha Informatika
E31200251;ppic;Non-IT
E31171935;machine operator;Non-IT
E31170763;document control specialist;Non-IT
E31160622;programmer;Programmer
E31201573;staff;Non-IT
E31201020;staff;Non-IT
E31192043;freelance kerja lepas;Wirausaha Informatika
E31192202;admin produksi;Non-IT
E31171444;wirausaha founder;Wirausaha Informatika
E31180373;staff;Non-IT
E31171427;pranata komputer;Non-IT
E31182030;freelance kerja lepas;Programmer
E31171243;it staff teknisi;Programmer
E31201687;staff graphic designer;Non-IT
E31190631;staff;Non-IT
E31180332;founder;Wirausaha Informatika
E31202038;freelance kerja lepas;Wirausaha Informatika
E31170217;human resources development officer;Non-IT
E31191547;staf sdm parmas;Non-IT
E31171076;support specialist;Programmer
E31172262;it staff teknisi;Programmer
E31170087;design development;Non-IT
E31191300;staff;Non-IT
E31200238;staff kontrak;Non-IT
E31201300;freelance kerja lepas;Wirausaha Informatika
E31171431;guru tik;Non-IT
E31181991;wirausaha founder;Wirausaha Informatika
E31171777;programmer developer;Programmer
E31201932;freelance kerja lepas;Wirausaha Informatika
E31201954;freelance kerja lepas;Wirausaha Informatika
E31191441;freelance kerja lepas;Wirausaha Informatika
E31192311;founder;Wirausaha Informatika
E31180878;freelance kerja lepas;Programmer
E31200293;staff;Non-IT
E31180456;it staff teknisi;Programmer
E31192292;staff;Non-IT
E31171367;office administrator;Non-IT
E31180748;freelance kerja lepas;Wirausaha Informatika
E31201939;freelance kerja lepas;Programmer
E31171151;sales executive;Non-IT
E31182101;founder;Wirausaha Informatika
E31170734;administrative assistant;Non-IT
E31191621;staff;Non-IT
E31192416;freelance kerja lepas;Wirausaha Informatika
E31192353;founder;Wirausaha Informatika
E31171236;it staff teknisi;Programmer
E31201647;founder;Wirausaha Informatika
E31190527;founder;Wirausaha Informatika
E31192382;staff;Non-IT
E31200245;staff;Non-IT
E31191124;founder;Wirausaha Informatika
E31160690;graphic designer;Non-IT
E31202345;founder;Wirausaha Informatika
E31181929;administrasi bmn;Non-IT
E31190865;founder;Programmer
E31190698;staff;Non-IT
E31181100;freelance kerja lepas;Wirausaha Informatika
E31201431;freelance kerja lepas;Data Analyst
E31171296;cutting machine operator;Non-IT
E31191159;founder;Wirausaha Informatika
E31191793;founder;Wirausaha Informatika
E31200456;data analyst;Data Analyst
E31180678;freelance kerja lepas;Wirausaha Informatika
E31181204;founder;Wirausaha Informatika
E31190408;freelance kerja lepas;Wirausaha Informatika
E31191228;it staff teknisi;Programmer
E31202278;founder;Wirausaha Informatika
E31201773;freelance kerja lepas;Programmer
E31191006;freelance kerja lepas;Wirausaha Informatika
E31192064;freelance kerja lepas;Wirausaha Informatika
E31180207;founder;Wirausaha Informatika
E31180513;it staff teknisi;Programmer
E31202314;staf pelaksana;Non-IT
E31201546;freelance kerja lepas;Wirausaha Informatika
E31200888;freelance kerja lepas;Wirausaha Informatika
E31191849;founder;Programmer
E31200284;staff;Non-IT
E31192029;freelance kerja lepas;Programmer
E31180638;founder;Wirausaha Informatika
E31180539;staff;Non-IT
E31181496;programmer developer;Programmer
E31192293;freelance kerja lepas;Wirausaha Informatika
E31180504;founder;Wirausaha Informatika
E31170392;it staff teknisi;Programmer
E31201537;freelance kerja lepas;Wirausaha Informatika
E31200837;founder;Wirausaha Informatika
E31192060;freelance kerja lepas;Wirausaha Informatika
E31180256;freelance kerja lepas;Wirausaha Informatika
E31171971;it staff teknisi;Programmer
E31181474;founder;Wirausaha Informatika
E31181955;freelance kerja lepas;Programmer
E31191879;founder;Wirausaha Informatika
E31170933;tester;Programmer
E31182109;freelance kerja lepas;Wirausaha Informatika
E31160524;kepala urusan perencanaan;Non-IT
E31191234;staff;Non-IT
E31201056;freelance kerja lepas;Wirausaha Informatika
E31170906;wirausaha founder;Wirausaha Informatika
E31171618;customer service staff;Non-IT
E31181049;freelance kerja lepas;Programmer
E31160306;admin stnk bpkb;Non-IT
E31171470;staf;Non-IT
E31190445;staff;Non-IT
E31171869;programmer developer;Programmer
E31200822;staff;Wirausaha Informatika
E31191120;freelance kerja lepas;Programmer
E31161169;customer service;Non-IT
E31190279;founder;Programmer
E31191894;fullstack developer;Programmer
E31180703;it staff teknisi;Programmer
E31201829;staff;Non-IT
E31182077;data analyst;Data Analyst
E31200356;founder;Programmer
E31180644;freelance kerja lepas;Programmer
E31200973;programmer;Programmer
E31171313;it staff teknisi;Programmer
E31192472;freelance kerja lepas;Wirausaha Informatika
E31202319;freelance kerja lepas;Wirausaha Informatika
E31191800;checker angkutan barang;Non-IT
E31170805;senior account manager;Non-IT
E31192024;teknisi laboratorium;Programmer
E31192285;founder;Programmer
E31191660;founder;Wirausaha Informatika
E31191433;founder;Wirausaha Informatika
E31160880;teller;Non-IT
E31201706;freelance kerja lepas;Wirausaha Informatika
E31190341;staff;Programmer
E31202279;freelance kerja lepas;Programmer
E31190883;staff;Programmer
E31200997;freelance kerja lepas;Wirausaha Informatika
E31182133;freelance kerja lepas;Programmer
E31180707;freelance kerja lepas;Programmer
E31180295;freelance kerja lepas;Wirausaha Informatika
E31200117;freelance kerja lepas;Wirausaha Informatika
E31190134;freelance kerja lepas;Wirausaha Informatika
E31180724;lain lain;Non-IT
E31190286;staff;Non-IT
