Provinsi,Kode_Provinsi,Kabupaten_Kota,Kode_Kabupaten,Link
Prov. Jawa Timur,50000,Kota Surabaya,56000,https://dapo.kemendikdasmen.go.id/sp/2/056000
Prov. Jawa Timur,50000,Kab. Malang,51800,https://dapo.kemendikdasmen.go.id/sp/2/051800
Prov. Jawa Timur,50000,Kab. Jember,52400,https://dapo.kemendikdasmen.go.id/sp/2/052400
Prov. Jawa Timur,50000,Kab. Lamongan,50700,https://dapo.kemendikdasmen.go.id/sp/2/050700
Prov. Jawa Timur,50000,Kab. Bojonegoro,50500,https://dapo.kemendikdasmen.go.id/sp/2/050500
Prov. Jawa Timur,50000,Kab. Sidoarjo,50200,https://dapo.kemendikdasmen.go.id/sp/2/050200
Prov. Jawa Timur,50000,Kab. Kediri,51300,https://dapo.kemendikdasmen.go.id/sp/2/051300
Prov. Jawa Timur,50000,Kab. Pasuruan,51900,https://dapo.kemendikdasmen.go.id/sp/2/051900
Prov. Jawa Timur,50000,Kab. Banyuwangi,52500,https://dapo.kemendikdasmen.go.id/sp/2/052500
Prov. Jawa Timur,50000,Kab. Gresik,50100,https://dapo.kemendikdasmen.go.id/sp/2/050100
Prov. Jawa Timur,50000,Kab. Sampang,52700,https://dapo.kemendikdasmen.go.id/sp/2/052700
Prov. Jawa Timur,50000,Kab. Probolinggo,52000,https://dapo.kemendikdasmen.go.id/sp/2/052000
Prov. Jawa Timur,50000,Kab. Sumenep,52800,https://dapo.kemendikdasmen.go.id/sp/2/052800
Prov. Jawa Timur,50000,Kab. Bangkalan,52900,https://dapo.kemendikdasmen.go.id/sp/2/052900
Prov. Jawa Timur,50000,Kab. Tuban,50600,https://dapo.kemendikdasmen.go.id/sp/2/050600
Prov. Jawa Timur,50000,Kab. Blitar,51500,https://dapo.kemendikdasmen.go.id/sp/2/051500
Prov. Jawa Timur,50000,Kab. Nganjuk,51400,https://dapo.kemendikdasmen.go.id/sp/2/051400
Prov. Jawa Timur,50000,Kab. Jombang,50400,https://dapo.kemendikdasmen.go.id/sp/2/050400
Prov. Jawa Timur,50000,Kab. Bondowoso,52200,https://dapo.kemendikdasmen.go.id/sp/2/052200
Prov. Jawa Timur,50000,Kab. Mojokerto,50300,https://dapo.kemendikdasmen.go.id/sp/2/050300
Prov. Jawa Timur,50000,Kab. Pamekasan,52600,https://dapo.kemendikdasmen.go.id/sp/2/052600
Prov. Jawa Timur,50000,Kab. Tulungagung,51600,https://dapo.kemendikdasmen.go.id/sp/2/051600
Prov. Jawa Timur,50000,Kab. Lumajang,52100,https://dapo.kemendikdasmen.go.id/sp/2/052100
Prov. Jawa Timur,50000,Kab. Ngawi,50900,https://dapo.kemendikdasmen.go.id/sp/2/050900
Prov. Jawa Timur,50000,Kab. Ponorogo,51100,https://dapo.kemendikdasmen.go.id/sp/2/051100
Prov. Jawa Timur,50000,Kab. Situbondo,52300,https://dapo.kemendikdasmen.go.id/sp/2/052300
Prov. Jawa Timur,50000,Kab. Pacitan,51200,https://dapo.kemendikdasmen.go.id/sp/2/051200
Prov. Jawa Timur,50000,Kota Malang,56100,https://dapo.kemendikdasmen.go.id/sp/2/056100
Prov. Jawa Timur,50000,Kab. Magetan,51000,https://dapo.kemendikdasmen.go.id/sp/2/051000
Prov. Jawa Timur,50000,Kab. Trenggalek,51700,https://dapo.kemendikdasmen.go.id/sp/2/051700
Prov. Jawa Timur,50000,Kab. Madiun,50800,https://dapo.kemendikdasmen.go.id/sp/2/050800
Prov. Jawa Timur,50000,Kota Kediri,56300,https://dapo.kemendikdasmen.go.id/sp/2/056300
Prov. Jawa Timur,50000,Kota Probolinggo,56700,https://dapo.kemendikdasmen.go.id/sp/2/056700
Prov. Jawa Timur,50000,Kota Pasuruan,56600,https://dapo.kemendikdasmen.go.id/sp/2/056600
Prov. Jawa Timur,50000,Kota Batu,56800,https://dapo.kemendikdasmen.go.id/sp/2/056800
Prov. Jawa Timur,50000,Kota Madiun,56200,https://dapo.kemendikdasmen.go.id/sp/2/056200
Prov. Jawa Timur,50000,Kota Blitar,56500,https://dapo.kemendikdasmen.go.id/sp/2/056500
Prov. Jawa Timur,50000,Kota Mojokerto,56400,https://dapo.kemendikdasmen.go.id/sp/2/056400
Prov. Jawa Barat,20000,Kab. Bogor,20500,https://dapo.kemendikdasmen.go.id/sp/2/020500
Prov. Jawa Barat,20000,Kab. Garut,21100,https://dapo.kemendikdasmen.go.id/sp/2/021100
Prov. Jawa Barat,20000,Kab. Sukabumi,20600,https://dapo.kemendikdasmen.go.id/sp/2/020600
Prov. Jawa Barat,20000,Kab. Cianjur,20700,https://dapo.kemendikdasmen.go.id/sp/2/020700
Prov. Jawa Barat,20000,Kab. Bandung,20800,https://dapo.kemendikdasmen.go.id/sp/2/020800
Prov. Jawa Barat,20000,Kab. Bekasi,22200,https://dapo.kemendikdasmen.go.id/sp/2/022200
Prov. Jawa Barat,20000,Kab. Tasikmalaya,21200,https://dapo.kemendikdasmen.go.id/sp/2/021200
Prov. Jawa Barat,20000,Kab. Karawang,22100,https://dapo.kemendikdasmen.go.id/sp/2/022100
Prov. Jawa Barat,20000,Kota Bekasi,26500,https://dapo.kemendikdasmen.go.id/sp/2/026500
Prov. Jawa Barat,20000,Kota Bandung,26000,https://dapo.kemendikdasmen.go.id/sp/2/026000
Prov. Jawa Barat,20000,Kab. Subang,21900,https://dapo.kemendikdasmen.go.id/sp/2/021900
Prov. Jawa Barat,20000,Kab. Indramayu,21800,https://dapo.kemendikdasmen.go.id/sp/2/021800
Prov. Jawa Barat,20000,Kab. Bandung Barat,22300,https://dapo.kemendikdasmen.go.id/sp/2/022300
Prov. Jawa Barat,20000,Kab. Cirebon,21700,https://dapo.kemendikdasmen.go.id/sp/2/021700
Prov. Jawa Barat,20000,Kota Depok,26600,https://dapo.kemendikdasmen.go.id/sp/2/026600
Prov. Jawa Barat,20000,Kab. Sumedang,21000,https://dapo.kemendikdasmen.go.id/sp/2/021000
Prov. Jawa Barat,20000,Kab. Ciamis,21400,https://dapo.kemendikdasmen.go.id/sp/2/021400
Prov. Jawa Barat,20000,Kab. Kuningan,21500,https://dapo.kemendikdasmen.go.id/sp/2/021500
Prov. Jawa Barat,20000,Kab. Majalengka,21600,https://dapo.kemendikdasmen.go.id/sp/2/021600
Prov. Jawa Barat,20000,Kab. Purwakarta,22000,https://dapo.kemendikdasmen.go.id/sp/2/022000
Prov. Jawa Barat,20000,Kota Bogor,26100,https://dapo.kemendikdasmen.go.id/sp/2/026100
Prov. Jawa Barat,20000,Kota Tasikmalaya,26800,https://dapo.kemendikdasmen.go.id/sp/2/026800
Prov. Jawa Barat,20000,Kab. Pangandaran,22500,https://dapo.kemendikdasmen.go.id/sp/2/022500
Prov. Jawa Barat,20000,Kota Cimahi,26700,https://dapo.kemendikdasmen.go.id/sp/2/026700
Prov. Jawa Barat,20000,Kota Cirebon,26300,https://dapo.kemendikdasmen.go.id/sp/2/026300
Prov. Jawa Barat,20000,Kota Sukabumi,26200,https://dapo.kemendikdasmen.go.id/sp/2/026200
Prov. Jawa Barat,20000,Kota Banjar,26900,https://dapo.kemendikdasmen.go.id/sp/2/026900
Prov. Jawa Tengah,30000,Kab. Cilacap,30100,https://dapo.kemendikdasmen.go.id/sp/2/030100
Prov. Jawa Tengah,30000,Kab. Banyumas,30200,https://dapo.kemendikdasmen.go.id/sp/2/030200
Prov. Jawa Tengah,30000,Kab. Grobogan,31500,https://dapo.kemendikdasmen.go.id/sp/2/031500
Prov. Jawa Tengah,30000,Kab. Brebes,32900,https://dapo.kemendikdasmen.go.id/sp/2/032900
Prov. Jawa Tengah,30000,Kota Semarang,36300,https://dapo.kemendikdasmen.go.id/sp/2/036300
Prov. Jawa Tengah,30000,Kab. Kebumen,30500,https://dapo.kemendikdasmen.go.id/sp/2/030500
